start...
Finetuning mode
Load outputs/2023-02-12-11-33-40/trained_model/best_weight.pt...
Epoch: 213 / 3000, Score: 14400,  block: 301,  Reward: -1.4866 Cleared lines: 115, col: 62/22/3/0 
Epoch: 214 / 3000, Score: 4600,  block: 115,  Reward: -6.2640 Cleared lines: 34, col: 14/8/0/1 
Epoch: 215 / 3000, Score: 18500,  block: 301,  Reward: 0.5672 Cleared lines: 118, col: 41/25/5/3 
Epoch: 216 / 3000, Score: 16800,  block: 301,  Reward: 0.0624 Cleared lines: 119, col: 50/25/5/1 
Epoch: 217 / 3000, Score: 15000,  block: 301,  Reward: -1.3146 Cleared lines: 118, col: 69/17/5/0 
Epoch: 218 / 3000, Score: 15000,  block: 301,  Reward: -3.2087 Cleared lines: 115, col: 55/24/4/0 
Epoch: 219 / 3000, Score: 16800,  block: 301,  Reward: -0.0846 Cleared lines: 118, col: 57/18/7/1 
Epoch: 220 / 3000, Score: 16200,  block: 301,  Reward: -0.4081 Cleared lines: 119, col: 57/23/4/1 
Epoch: 221 / 3000, Score: 4200,  block: 127,  Reward: -5.4765 Cleared lines: 35, col: 16/8/1/0 
Epoch: 222 / 3000, Score: 16200,  block: 301,  Reward: -1.4186 Cleared lines: 118, col: 50/25/6/0 
Epoch: 223 / 3000, Score: 15300,  block: 301,  Reward: -0.4347 Cleared lines: 116, col: 56/25/2/1 
Epoch: 224 / 3000, Score: 14200,  block: 301,  Reward: -1.5927 Cleared lines: 116, col: 59/27/1/0 
Epoch: 225 / 3000, Score: 14500,  block: 301,  Reward: -1.4359 Cleared lines: 115, col: 60/23/3/0 
Epoch: 226 / 3000, Score: 10600,  block: 200,  Reward: -4.2340 Cleared lines: 66, col: 24/11/4/2 
Epoch: 227 / 3000, Score: 15100,  block: 301,  Reward: -1.9358 Cleared lines: 114, col: 50/26/4/0 
Epoch: 228 / 3000, Score: 15700,  block: 301,  Reward: -1.7180 Cleared lines: 118, col: 50/28/4/0 
Epoch: 229 / 3000, Score: 14300,  block: 301,  Reward: -2.3270 Cleared lines: 115, col: 64/21/3/0 
Epoch: 230 / 3000, Score: 17100,  block: 301,  Reward: -1.0178 Cleared lines: 116, col: 45/23/7/1 
